infrequent_use,8
resigned,1
trust_app,11
unconcerned,62
unconcerned->low_permission_level,1
will_remove_app_access,3
will_review_app_access,1
app_beneficial,7
app_not_beneficial,1
concerned,33
concerned->data_leak,1
concerned->failure_to_update,1
concerned->permissions,19
concerned->permissions->contacts,2
concerned->permissions->delete,5
concerned->permissions->email,8
concerned->permissions->google_drive,4
concerned->permissions->google_play,1
concerned->permissions_after_deleted_app,3
concerned->personal_data,9
concerned->personal_data->contacts,1
concerned->unecessary_access_to_data,9
do_not_recall_authorizing,7
do_not_recall_authorizing->permission,1
does_not_know_how_to_remove,1
infrequent_use,11
resigned,1
trust_app,5
unconcerned,41
unconcerned->low_permission_level,2
unconcerned->permissions_necessary,8
unknowns,8
unknowns->associated_with_personal_info,2
unknowns->how_data_used,2
unknowns->what_permission_allows,3
will_remove_app_access,3
will_review_app_access,1
app_beneficial,9
app_not_beneficial,1
concerned,90
concerned->access_when_not_using_app,1
concerned->data_leak,5
concerned->misuse,14
concerned->permissions,49
concerned->permissions->calendar,2
concerned->permissions->contacts,10
concerned->permissions->delete,18
concerned->permissions->edit,1
concerned->permissions->email,12
concerned->permissions->extensions,1
concerned->permissions->google_drive,5
concerned->permissions-more_permissions_than_described,1
concerned->permissions_after_deleted_app,1
concerned->personal_data,31
concerned->personal_data->selling_data,6
concerned->personal_data->used_for_advertising,5
concerned->privacy,3
concerned->tracking,2
concerned->unecessary_access_to_data,16
do_not_recall_authorizing,12
do_not_recall_authorizing->app,1
do_not_recall_authorizing->permission,4
infrequent_use,8
trade_off_for_convenience,3
trust_app,6
unconcerned,44
unconcerned->low_permission_level,3
unconcerned->permissions_necessary,10
unknowns,17
unknowns->can_i_delete_my_data,1
unknowns->how_data_used,8
unknowns->how_long_data_stored,1
unknowns->what_permission_allows,3
unknowns->who_can_access_data,2
unknowns->why_permissions_necessary,2
unknowns->will_it_notify_on_data_delete,1
will_review_app_access,1
change_permissions,27
change_permissions->account_info,2
change_permissions->calendar,1
change_permissions->change_files,1
change_permissions->contacts,4
change_permissions->delete_files,1
change_permissions->email,2
change_permissions->google_drive,1
change_permissions->limit_access,8
change_permissions->remove_unnecessary,4
change_permissions->sharing,1
change_permissions->specific_app,2
change_permissions->storage,1
change_permissions->unused_apps,2
change_sso_access,1
remove_app_access,76
remove_app_access->all,6
remove_app_access->apps_with_account_access,4
remove_app_access->apps_with_google_drive_access,1
remove_app_access->some_apps,11
remove_app_access->specific_app,9
remove_app_access->unfamiliar_apps,6
remove_app_access->unused_apps,41
review_app_access,7
review_app_access->all,1
review_app_access->specific_app,1
review_app_access->unused_apps,1
review_what_data_used,1
use_separate_account_for_app_access,1
wants_to_protect_personal_data,8
wants_to_protect_personal_data->leaks,1
apps_with_access_page_useful,1
assess_risks,2
change_permissions,3
remove_app_access,23
remove_app_access->apps_with_google_drive_access,1
remove_app_access->unfamiliar_apps,1
remove_app_access->unused_apps,16
remove_app_accessreview_app_access,1
review_app_access,133
review_app_access->accidentally_added,7
review_app_access->account_login,4
review_app_access->do_not_remember_authorizing,12
review_app_access->full_account_access,1
review_app_access->how_long_access,3
review_app_access->how_much_access_allowed,8
review_app_access->most_used,2
review_app_access->necessary_permissions_only,7
review_app_access->new_apps_with_access,22
review_app_access->permissions,10
review_app_access->permissions->account_info,4
review_app_access->permissions->contacts,1
review_app_access->permissions->modify_data,1
review_app_access->permissions_changed,4
review_app_access->privacy,4
review_app_access->suspicious_apps,3
review_app_access->unauthorized_apps,2
review_app_access->unauthorized_permissions,1
review_app_access->unfamiliar_apps,6
review_app_access->unncessary_access,1
review_app_access->unused_apps,43
review_app_access->what_data_is_accessible,16
review_changes,22
review_changes->changed_without_notification,2
review_how_trusted_app_is,5
trade_off_for_convenience,1
uncertain,2
use_separate_account_for_app_access,1
wants_to_protect_personal_data,6
ability_to_limit_access,7
ability_to_limit_access->minimum_necessary,1
ability_to_limit_access->remove_access_if_not_used,1
ability_to_limit_access->temporarily_allow_app_access,1
ability_to_limit_access->temporarily_block_app_access,2
ability_to_limit_access->time_limits,1
ability_to_secure_data,3
ability_to_secure_data->limit_what_data_can_be_accessed,1
easier_access_removal,17
improved_user_interface,17
improved_user_interface->add_app_description_text,1
improved_user_interface->color_code_based_on_level_of_access,1
improved_user_interface->deletion_suggestions,1
improved_user_interface->easier_to_access_page,4
improved_user_interface->edit_preferences_directly,1
improved_user_interface->filter_by_authorization_date,1
improved_user_interface->opt_out_option,1
improved_user_interface->order_by_date_authorized,1
improved_user_interface->personalization,1
improved_user_interface->sort_apps_by_permission_type,3
improved_user_interface->specific_icons,1
more_transparency,61
more_transparency->app_usage_log,13
more_transparency->company_providing_app,1
more_transparency->data_access_logs,5
more_transparency->detailed_permission_explanation,12
more_transparency->how_access_was_authorized,1
more_transparency->how_data_used,1
more_transparency->how_to_remove_information,1
more_transparency->information_about_privacy,1
more_transparency->information_about_security,1
more_transparency->listing_of_sites_indirectly_accessing,1
more_transparency->location_of_app_access,1
more_transparency->misuse_reports,6
more_transparency->permission_usage_log,1
more_transparency->terms_and_conditions,1
more_transparency->vulnerability_alert,1
more_transparency->what_app_needs_to_work,3
more_transparency->what_data_accessible,5
more_transparency->what_parts_of_account_accessible,3
more_transparency->when_access_authorized,8
more_transparency->which_app_accessed_the_most,1
none,86
notifications,14
notifications->data_breach,1
notifications->email,1
notifications->reminders,5
notifications->reminders->by_date,3
notifications->reminders->monthly,2
notifications->remove_access_after_app_removed,1
notifications->to_review,2
notifications->unused_apps,1
notifications->upon_changes,2
notifications->when_account_accessed,1
permission_level_control,9
permission_level_control->remove_individual_permissions,4
permission_level_control->set_some_permissions_never_use,1
require_reauthorization,3
require_reauthorization->period_of_time,1
require_reauthorization->unused_apps,1
require_reauthorization->unused_apps->3_months,1
require_reauthorization->yearly,1
unsure,6
user_reviews,1
